"121"	"121"	"land_title"	"5"	"普通賃借"	"2017-11-27 02:43:26.367422"	"2017-11-27 02:43:26.367422"
"122"	"122"	"land_title"	"6"	"定期賃借"	"2017-11-27 02:43:45.309861"	"2017-11-27 02:43:45.309861"
"123"	"123"	"connecting_road"	"0"	"一方"	"2017-11-27 02:44:13.996583"	"2017-11-27 02:44:13.996583"
"124"	"124"	"connecting_road"	"1"	"角地"	"2017-11-27 02:44:56.883059"	"2017-11-27 02:44:56.883059"
"125"	"125"	"connecting_road"	"2"	"三方"	"2017-11-27 02:45:17.178805"	"2017-11-27 02:45:17.178805"
"126"	"126"	"connecting_road"	"3"	"四方"	"2017-11-27 02:45:37.186595"	"2017-11-27 02:45:37.186595"
"127"	"127"	"connecting_road"	"4"	"二方"	"2017-11-27 02:45:52.368348"	"2017-11-27 02:45:52.368348"
"128"	"128"	"roed_class"	"0"	"公道"	"2017-11-27 02:49:21.478136"	"2017-11-27 02:49:21.478136"
"129"	"129"	"roed_class"	"1"	"私道"	"2017-11-27 02:49:41.178833"	"2017-11-27 02:49:41.178833"
"130"	"130"	"direction"	"0"	"北"	"2017-11-27 02:50:28.816187"	"2017-11-27 02:50:28.816187"
"131"	"131"	"direction"	"1"	"北東"	"2017-11-27 02:50:46.673214"	"2017-11-27 02:50:46.673214"
"132"	"132"	"direction"	"2"	"東"	"2017-11-27 02:51:09.462962"	"2017-11-27 02:51:09.462962"
"133"	"133"	"direction"	"3"	"南東"	"2017-11-27 02:51:26.636829"	"2017-11-27 02:51:26.636829"
"134"	"134"	"direction"	"4"	"南"	"2017-11-27 02:51:49.078226"	"2017-11-27 02:51:49.078226"
"135"	"135"	"direction"	"5"	"南西"	"2017-11-27 02:52:06.299613"	"2017-11-27 02:52:06.299613"
"136"	"136"	"direction"	"6"	"西"	"2017-11-27 02:52:26.752905"	"2017-11-27 02:52:26.752905"
"137"	"137"	"direction"	"7"	"北西"	"2017-11-27 02:52:39.404669"	"2017-11-27 02:52:39.404669"
